,delta
3568,0.0
5214,0.0
5153,-0.18232144568291275
5332,-0.3254221867595568
3249,-0.6931421805974445
4429,-0.7621392901429314
396,0.06062462108114275
3515,0.0
2610,0.0
2964,-0.15415020363825604
2592,0.0
1951,-0.1541506322082249
3948,-0.22314345131425384
1457,-0.35667485822446743
5303,-0.6931466805603215
3565,0.0
3698,0.0
2566,-0.4054617748026086
1474,-0.13353135691024676
193,-0.28768203078512045
2121,0.0
1017,0.0
557,0.11332868102129012
3545,0.0
1172,0.0
1619,-0.40546494144156675
2071,-0.22314305131533452
2998,0.0
162,-0.510825357099467
4309,0.15415065601773748
2500,0.0
3068,0.9162901318745753
3845,-0.0870113618381172
3078,0.0
1455,0.0
260,0.0
364,0.15415067744630306
1120,0.0
496,-0.1823215401272904
2531,-0.18232022347040022
2735,0.28768123912087873
1104,0.0
933,-0.22314352631421208
2966,0.0
1767,-0.1541506322082249
4300,-0.13353103548262268
3924,0.0
3012,0.0
5221,-0.22314353464754433
255,-0.18232144568291275
531,-0.22314352631421208
1749,-0.10536050454671653
1082,-0.22314330131449012
1708,0.0
395,0.0
2557,0.0
1021,0.0
5263,0.0
2276,-0.6931461805614454
3669,-0.15415020363825604
4211,0.22314330131449012
1867,-0.1823215234606277
4667,-0.10536046010230038
1850,-0.1823208901297324
3307,-0.6931468472267799
5258,0.2006706752601346
2939,0.0
2272,-0.5108242904362132
3032,0.0
5369,0.0
2917,0.6931466805603215
4726,0.0
1706,0.35667490108159505
4257,0.07696103817316668
5358,-0.1823214901273129
320,-0.5108255793215513
3502,-0.1541506322082249
4426,0.2623640336984643
1045,-0.1823214901273129
2847,-0.28768123912087873
1774,0.1823215401272904
1771,-0.4700028792469553
4046,0.22314350131422067
529,0.0
4197,0.0
4445,0.0
5223,-0.33647166519362237
736,0.0
2819,0.0
4268,-0.40546494144156675
547,0.0
568,-0.1278333660553379
244,0.5108251793219409
4559,-0.13353135691024676
4835,0.28768198911847165
3309,0.0
5441,0.6931465138939448
4618,0.06453843780434632
5456,0.7985064739975183
2603,-0.22314155133220837
1811,0.0
3131,-0.22314330131449012
3612,-0.22314345131425384
4121,11.51293546492023
3433,0.5389959054952644
39,-0.11778303496193843
5170,0.0
4132,0.40546477477510834
1887,-0.22314350131422067
4733,0.4054634414484415
5070,0.9808250863641561
567,-0.22314352631421208
4422,0.1941557623404453
4842,0.0
3582,-0.13353103548262268
4311,0.3677244382452969
4953,0.22314330131449012
4978,0.0
4380,-0.6931466805603215
1808,-0.22314352631421208
4961,-0.2876816557857218
5118,0.0
5099,0.40546399700014035
4760,0.0
2600,0.0
4970,0.0
930,0.22314354417135362
4621,0.08961213190397999
662,0.0
2066,1.098611177558233
2087,0.0
1311,-0.10536049343560805
1263,-0.47000347924578456
4791,-0.22314345131425384
2099,-0.22314338464766692
2354,-0.057158381160229865
4468,-0.18232154568284287
1085,-0.1541506322082249
4627,0.40546494144156675
1401,0.22314345131425384
4789,0.4700028792469553
1333,0.06899286910600111
679,0.2876820641184459
1221,0.0
1138,-0.20067068536114263
1492,-0.08223809598133158
554,-0.13353138905309336
1793,0.0
5329,-0.1823214901273129
5080,0.22314345131425384
3233,0.13353103548262268
4809,0.0
3563,0.0
4583,0.0
3895,0.40546469144193154
3758,-0.06899284767743552
2023,0.1823215401272904
637,0.3001045794873747
3803,0.0
4101,0.0
1581,0.0
152,-0.11332868102129012
4886,0.0
4215,-0.40545844155260724
2594,0.22314350131422067
178,0.0
3665,0.28768201689623574
2130,0.16251884126253024
5192,0.0
2951,0.22314330131449012
758,-0.09531017525887009
1,-0.13353137476738297
4854,-0.18232139012744142
5428,0.0
4952,0.18232144568291275
939,1.2039723376594722
5134,0.0
1797,-0.22314353464754433
2470,-0.133530678342634
3664,0.10536049343560805
880,-0.22314353464754433
3180,0.6286074927579435
5194,0.0
4548,0.0
2637,-0.18232022347040022
1151,0.0
2137,0.0
1064,0.0
5264,0.0
3328,2.120260602872234
4964,0.0
24,-0.18232154568284287
5407,0.0
1842,-0.1823214901273129
1591,0.0
4875,0.0
498,0.38566246198845633
2718,-0.4855073350129544
2591,0.22314305131533452
4629,0.0
2989,0.0
2660,0.0
846,-0.12516313511086707
3108,0.3566740867979572
2246,0.45675830600450773
3057,-0.22314330131449012
4444,0.0
2490,-0.2876816557857218
2132,-0.2513143647888594
3225,0.40546444144260896
4362,-0.06062454828711239
4933,0.0
1372,0.0
2325,0.0
3927,-0.2231434263142802
3143,0.5596136450866975
2497,0.6931371807099431
1573,0.35667483679590717
3312,0.0
565,-0.22314350131422067
4298,0.0
3407,0.3254221867595568
4318,-0.15415020363825604
4469,0.5108254904326923
1152,-0.33647217947836516
2898,-0.22314305131533452
2614,-0.22314338464766692
5273,-0.13353137476738297
5210,0.0
1687,0.9162905818741809
1681,1.3862936111203599
3998,0.40546507477483473
2329,0.0
617,0.0
984,-0.22314350131422067
3366,0.0
3268,0.08961213190397999
5337,0.0
3878,0.0
1668,0.0
3822,-0.22314255131870908
211,-0.28768204467400693
3420,0.43531742954757746
3374,-0.2513141108209904
4343,-0.11778275787926162
558,-0.18232155012729123
2813,-0.13353103548262268
3177,1.252755825684142
4106,-0.20763907631710943
1204,0.0
707,0.10536051010227254
1655,0.0
3679,0.0
2581,-0.4418311649832454
4071,0.0
5297,-0.13353137476738297
5082,-0.1541504417323889
1781,0.4054617748026086
3774,0.0
5021,-0.22314330131449012
4130,-0.18232139012744142
2542,-0.18232122346123347
770,-0.0896121560111176
1109,0.28768204467400693
5453,0.0
3387,-0.13353103548262268
827,-0.1823215234606277
2768,0.0
3426,-0.1823208901297324
5060,-0.4054648303305797
1878,-0.18232122346123347
2820,-0.28768190578521313
1470,0.0
1772,-0.1823215401272904
3476,-0.13353137476738297
4415,-0.1335312140533329
1783,-0.10536046010230038
2449,0.0
2290,0.0
1676,-0.10536051010227254
528,0.0
3872,0.0
2296,-0.06899284767743552
273,0.0
2680,-0.31845236748806016
3000,0.0
2454,-0.057158381160229865
4553,-0.22314345131425384
3937,0.0
5305,-0.405464274776568
1757,-0.22314352631421208
5312,-0.405464274776568
454,0.15415067506535252
4337,0.28768190578521313
103,-0.28768203078512045
77,0.0
480,0.0
5195,-0.28768204467400693
2578,-0.31845236748806016
3815,-0.1053602934360729
4041,-0.22314352631421208
536,0.08701137547447857
5314,-0.22314350131422067
4607,0.0
796,-0.33647217947836516
4509,0.28768198911847165
312,0.0
1560,0.0
2205,-0.18232144568291275
1702,0.28768198911847165
3324,-0.1053604045468326
21,0.0
4659,0.0
1357,-0.28768190578521313
5124,0.0
3704,0.0
5011,0.18232122346123347
2007,-0.1823215234606277
4929,-0.22314345131425384
3211,0.405464274776568
3399,0.0
2669,-0.22314321798137549
3162,-0.08004264357102286
4096,0.510825357099467
3496,-0.15415056077973155
3161,0.40546477477510834
4443,0.14310074107664406
2709,-0.13353103548262268
108,0.0
5247,-0.1823215234606277
1688,-0.22314350131422067
138,0.0
4567,-0.15415065601773748
3405,0.3829920401350133
5199,-0.28768198911847165
4349,0.0
2700,0.0
4632,0.5108254904326923
3136,0.5108242904362132
3004,0.18232139012744142
4956,0.0
1399,-0.36772471174926125
1653,0.20067069344194977
1283,0.10536051010227254
1967,-0.3364721223355378
4065,0.20763935035516923
5416,-0.356674515367823
1398,0.4054650414415093
5052,0.0
1982,0.28768198911847165
826,-0.33647217947836516
821,0.22314352631421208
4179,0.51082529043288
4052,0.0
4525,0.0
4223,0.0
2319,-0.4700006292652361
3709,0.0
1127,0.0
134,0.5108255570993325
3421,-0.4054634414484415
799,0.04082199285358712
3300,0.40546499699708427
2686,-0.2876804057948359
1805,0.0
2427,-0.5596147165089569
1307,0.0
5119,0.0
4050,0.9162905818741809
3436,-0.18232139012744142
1434,-0.11778300787861262
2352,0.0
1299,0.0
119,-0.06899282386793537
791,0.0
2065,-0.1823214901273129
2480,-0.1335312140533329
5233,-0.22314305131533452
1031,-0.28768198911847165
1497,0.0
450,-0.15415065601773748
1873,-0.22314345131425384
1597,-0.14310074107664406
788,0.0
1078,-0.2231435179808816
1116,-0.28768190578521313
2448,-0.18232151512729722
698,-0.18232155203205025
10,-0.18232155012729123
3166,-0.22314330131449012
4433,-0.28768151689730637
5301,0.0
1098,0.0
3655,-0.22314345131425384
2698,0.0
883,0.32542237906710625
1649,0.0
92,-0.11332864244987739
4371,0.0
4656,-0.6931461805614454
2608,0.5596155736497916
668,0.11332868102129012
4554,0.0
2828,-0.1541506322082249
2559,-0.1541506322082249
366,0.06899287053457215
269,-0.22314345131425384
398,0.0
4926,-0.22314305131533452
580,-0.06899286910600111
1693,-0.1541506322082249
3333,-0.2876804057948359
2269,-0.356674515367823
2943,-0.28768151689730637
1633,-0.10536046010230038
4228,-0.18232122346123347
4836,0.0
1713,-0.22314353464754433
4491,-0.16251892067424833
3848,0.0
5147,-0.18232144568291275
2150,-0.4054634414484415
4006,0.6931471555599451
3498,-0.2231434798856604
1076,0.6286086010890468
225,-0.5108254904326923
1234,0.2876820557851154
1141,0.0
5024,0.0
5222,-0.16251884126253024
3349,0.22314338464766692
2349,0.0
1768,0.0
3042,0.0
280,0.0
923,0.0
104,-0.28768190578521313
2424,-0.1251630645226829
2345,-0.40546444144260896
2716,0.18232022347040022
2460,0.0
4373,-0.3364721223355378
1737,0.0
4244,-0.33647109376798845
259,-0.1541506322082249
4874,0.0
5111,0.0
91,-0.223143541314208
3674,-0.22314338464766692
2506,0.0
261,0.0
4682,0.0
1134,-0.1335312140533329
3016,-0.22314255131870908
378,-0.08701137547447857
4202,0.28768123912087873
4856,0.0
532,-0.06453851905423491
5220,-0.1335312140533329
4889,0.0
3687,-0.1823215401272904
3239,0.5108242904362132
4879,0.1823214901273129
1968,0.0
2109,-0.28768190578521313
1308,0.33647217947836516
2965,0.0
3301,-0.51082529043288
2836,0.0
2340,-0.161268110362089
4085,0.40546477477510834
2262,-0.09531016162251049
2318,0.0
2211,0.40546477477510834
2713,-0.35667322966134307
4141,0.28768198911847165
5095,0.0
2496,-0.18232139012744142
293,0.18232122346123347
3970,-0.11778289676765752
267,0.1541506322082249
206,-0.11778289676765752
506,0.0
5313,-0.22314350131422067
1171,0.06899284767743552
4160,-0.1335312140533329
739,0.0
5293,-0.1823214901273129
482,0.4054650803303872
4125,-0.40546494144156675
5203,0.0
4042,-0.1823215234606277
5179,0.0
5262,0.22314350131422067
4264,0.5108254904326923
4120,0.0
323,-0.28768190578521313
2721,-0.2876809613449893
2316,0.0
1137,-0.28768203078512045
3626,0.11778302871193702
6,-0.1823215401272904
218,0.13353135691024676
3823,0.0
4829,0.0
4744,0.9162877318846547
3358,0.0
2535,0.51082529043288
1605,-0.1823215234606277
2778,0.0
4848,0.0
294,-0.10536046010230038
4271,-0.18232122346123347
4398,-0.22314330131449012
989,-0.20067068536114263
934,-0.33647217947836516
5085,0.0
1356,-0.13353135691024676
3557,-0.11778275787926162
886,-0.5877866204576776
5122,0.0
730,-0.1823215234606277
813,0.0
4821,0.0
3531,-0.18232122346123347
86,0.08701137547447857
3112,0.405464274776568
13,0.0
4081,0.0
1477,0.0
2563,-0.16251884126253024
406,-0.33647217947836516
4955,-0.2876804057948359
4570,-0.4054634414484415
4188,-0.28768190578521313
4569,0.0
5266,-0.22314338464766692
40,0.4054651025526077
3119,0.0
4721,0.0
3109,-0.35667485822446743
4718,0.0
1310,0.15415065601773748
4994,-0.1823214901273129
4226,0.0
802,0.0
5304,-0.356674515367823
5091,0.0
950,0.0
850,0.4054650664415025
1552,-0.1397618771577971
2773,0.0
2747,0.0
1700,0.28768203078512045
38,0.0
452,0.0
2508,0.28768190578521313
115,0.0
4972,0.0
3976,-0.05715841057197579
1014,0.14310083338426338
4332,-0.510825357099467
1003,-0.15415065601773748
1225,0.0
4971,-0.22314338464766692
2393,0.28768201689623574
3810,-0.1541506322082249
2336,-0.356674515367823
75,-0.16251892067424833
1418,-0.356674515367823
2612,-0.4054648303305797
4243,0.4054634414484415
4239,0.0
2213,0.0
1656,0.0
476,0.0
4752,0.0
85,-0.1278333660553379
42,-0.2876820682851111
117,0.0
1810,0.28768198911847165
4851,-0.2623640336984643
1648,-0.223143541314208
2949,-0.2876804057948359
3790,0.0
1054,-0.6931471555599451
493,0.18232154568284287
3071,-0.6931438472432774
4189,0.0
5005,0.0
3680,-0.1335312140533329
2902,1.2039723376594722
3915,0.0
4058,0.22314338464766692
180,-0.10536046010230038
2837,-0.18232022347040022
504,0.0
3714,0.0
1904,-0.10536046010230038
4689,0.0
902,-0.2876820641184459
4269,-0.3285039114165542
2308,0.0
3647,0.0
2737,1.098605622045886
1428,0.0
5138,0.0
1637,0.0
1674,-0.40546494144156675
4897,-0.22314330131449012
5128,-0.22314338464766692
3111,0.33647209376413123
4611,0.33647209376413123
937,0.0
2055,-0.22314352631421208
3684,0.28768203078512045
3400,0.0
1423,0.10536046010230038
202,0.0
4681,0.5108249571002119
4631,0.2876816557857218
1795,-0.10536051010227254
3508,-0.18232144568291275
4059,0.6931461805614454
1485,-0.09531017525887009
1348,-0.8472976699110575
3988,0.0
434,-0.14310084158939063
257,0.0
2745,-0.11778275787926162
1678,-0.09531017525887009
2309,0.5108255570993325
4608,0.0
844,-0.11778302871193702
4589,0.0
4537,-0.1823214901273129
1908,0.0
1206,-0.5596147165089569
4620,0.5596155736497916
5140,-0.18232139012744142
2955,0.22314321798137549
1013,-0.28768198911847165
2616,-0.2876787391573359
4939,0.0
5462,0.28768190578521313
3768,0.0
3677,0.0
5333,-0.22314255131870908
1205,0.0
2476,0.0
2780,0.0
1671,0.0
703,-0.07696103817316668
841,-0.11778302871193702
3015,-0.1823208901297324
5276,0.1823215234606277
3330,1.6094299124820992
2634,0.22314330131449012
3001,0.0
2234,-0.4307826468618572
2843,0.0
1119,0.0
2657,1.3862793613073876
1881,0.0
4563,-0.10536046010230038
3277,0.22314345131425384
1473,-0.47000355424574813
697,0.07410797105481848
5172,-0.18232154568284287
5267,0.0
1451,0.0
1278,0.11332868102129012
619,-0.2513143965348785
360,0.0
1264,-0.18232155012729123
3781,0.0
2180,-0.8109295217725112
744,-0.09531017525887009
4714,-0.18232144568291275
5001,0.0
3572,-0.1053604045468326
4678,-0.1541506322082249
4176,-0.1335312140533329
2623,-0.2876804057948359
477,0.13353138905309336
5211,0.5108255570993325
3190,0.2876804057948359
1239,0.0
2313,-0.08004264357102286
552,0.09531017525887009
2277,-0.18232144568291275
1576,0.0
2873,-0.1335312140533329
4447,-0.16705380494335564
5268,-0.18232139012744142
3645,0.0
352,0.0
3734,-0.22314338464766692
3213,-0.6931371807099431
1132,-0.11778300787861262
2529,-0.18232122346123347
2886,-0.22314255131870908
2001,-0.2513141108209904
1254,0.0
1367,0.20067065505811854
1531,0.13353137476738297
2256,-0.8754640707136776
2175,0.0
3116,0.4700028792469553
2206,-0.31015480709176657
3489,0.51082529043288
1998,-0.28768173911883643
892,-0.33647217947836516
1380,-0.18232144568291275
20,0.0
2811,0.0
2322,0.0
3744,0.09531013434980018
3350,2.302573093082044
1790,0.0
3457,-0.04255961260720298
4884,-0.18232139012744142
3466,0.0
2147,0.0
116,0.0
3923,0.0
1960,-0.15415065601773748
4095,0.510825357099467
2179,0.6286083677558469
2281,-0.22314345131425384
4310,-0.28768190578521313
3031,-0.4054617748026086
427,-0.16989903100835946
4074,0.40546494144156675
2549,-0.08223807568058739
5216,-0.33647166519362237
2000,0.2513143647888594
2767,-0.28768190578521313
3668,0.0
901,1.3862939861200072
1402,-0.10536049343560805
4241,-0.40546477477510834
4888,0.4700028792469553
3290,0.0
3334,0.0
4748,0.0
4326,-0.13353103548262268
2456,-0.40545844155260724
3133,-0.15415020363825604
961,-0.22314353464754433
5029,0.28768123912087873
34,-0.13353137476738297
3287,-0.22314305131533452
540,0.0
3173,0.0
4950,0.0
4561,0.22314305131533452
4018,0.2513143965348785
634,0.0
781,0.0
3054,0.0
2392,-0.22314330131449012
4327,0.0
4076,0.0
4210,-0.13353103548262268
1416,-0.28768203078512045
4060,-0.1823214901273129
2627,0.0
4379,-0.5108242904362132
1615,-0.24512244595569044
4174,0.5108251793219409
5439,0.0
1262,0.22314354417135362
2279,0.6286080760895985
2027,0.0
2599,-0.4700028792469553
2800,-0.22314330131449012
1855,0.0
777,-0.6931451805659457
1208,0.0
321,0.6931470805599602
5410,-0.356674515367823
3019,0.0
1829,-0.18232122346123347
212,0.0
2089,-0.1823214901273129
1102,-0.2513143647888594
1257,-0.33647217947836516
2285,0.0
375,-0.07410797160427052
5127,-0.10536049343560805
2471,-0.1335312140533329
4464,0.0
2702,-0.33647166519362237
2595,-0.2876804057948359
4936,0.0
4408,0.0
4558,0.0
5443,-0.09531013434980018
1184,0.0
3685,-0.1823215234606277
3253,0.5877862204580211
1691,-0.1823208901297324
517,0.18232154568284287
4137,0.0
990,-0.22314350131422067
2703,0.0953099979864902
1852,-0.1823208901297324
3163,0.33647166519362237
1738,-0.18232154568284287
207,0.0
299,-0.11778289676765752
3818,0.0870113618381172
2688,-0.18232022347040022
187,-0.11778302176749555
4100,0.0
3965,0.0
4666,0.0
1527,0.0
3993,-0.22314338464766692
2365,0.1397618771577971
5282,-0.15415065601773748
1178,0.0
2320,0.10536046010230038
5231,0.1823215234606277
597,-0.22314352631421208
329,0.0
968,1.3862940611199654
3826,-0.1541506322082249
2502,0.1823208901297324
2341,-0.09531013434980018
1302,1.8325807637486484
5213,-0.1823208901297324
1481,-0.35667490108159505
5094,0.0
3747,-0.1053604045468326
2359,0.160342585662967
4992,-0.18232139012744142
665,-0.5108242904362132
1981,0.19671028648208022
3938,-0.11332864244987739
4156,0.0
4814,-0.22314338464766692
5068,-0.28768123912087873
18,0.0
2655,0.28768190578521313
405,0.08701137547447857
4190,-0.22314305131533452
4232,0.28768123912087873
4516,0.0
4459,-0.22314345131425384
3911,0.0
3169,1.3862843612032218
4285,0.0
2293,-0.18232139012744142
2203,0.0
4505,-0.13353103548262268
4053,0.510825357099467
242,0.0
1191,0.0
1969,-0.16705407067715328
2990,-0.28768190578521313
4316,0.30228071842032733
384,0.11332868102129012
3035,0.0
1837,0.10536046010230038
2706,0.0
3073,0.0
4793,-0.22314305131533452
392,0.0
666,0.1278333660553379
1823,-0.22314352631421208
2679,1.163148059812901
3342,0.28768190578521313
189,-0.4054650803303872
2645,0.40546477477510834
1914,0.15415065601773748
2255,-0.6931461805614454
5324,-0.11778300787861262
5396,0.0
1363,-0.06453851280423883
155,-0.20067068536114263
5429,-0.22314338464766692
4439,0.0
2254,0.0645385003042449
3280,0.0
1815,-0.10536049343560805
749,-0.13353137476738297
4591,0.0
606,0.0
3834,0.1823215401272904
5357,-0.13353103548262268
5340,-0.3364721223355378
4899,0.1541497274522019
832,0.0
433,0.10536051510227296
3787,0.0
1996,-0.2876816557857218
3362,0.1251630645226829
2128,-0.28768190578521313
1108,0.6931461805614454
4617,-0.28768198911847165
2808,-0.26236380292984585
562,0.0
2009,0.0
3218,10.819798284210286
2739,0.0
5427,-0.10536007121525692
3701,0.0
3159,0.0
2740,-0.33647109376798845
5422,0.0
1888,0.4700028792469553
1745,-0.1823215401272904
1288,0.22314353881420956
1118,0.0
1072,0.33647217947836516
3217,0.0
2469,0.0
4866,0.0
3821,-0.1541504417323889
3829,0.0
492,0.0
1460,-0.1541506322082249
3884,-0.18232139012744142
904,0.7339691317468677
3873,0.22314330131449012
1574,0.0
900,-0.22314353464754433
5406,0.0
2806,0.0
2237,-0.4054617748026086
2260,0.0
2807,-0.24116166720713217
1035,-0.47000355424574813
5434,0.0
2741,0.0
539,-0.1823215234606277
3973,0.0
2389,0.9162901318745753
3482,0.14310074107664406
5354,0.0
1479,0.0
1654,0.20067069344194977
3518,-0.18232139012744142
275,0.0
5373,-0.33647109376798845
4711,0.0
4585,0.0
4665,0.0
2661,1.3862868611667647
4153,2.3025760930435446
4698,0.1541504417323889
4531,0.0
5188,-0.22314350131422067
2901,0.1823214901273129
2199,0.0
3104,-0.28768173911883643
3713,-0.24116166720713217
2626,-0.06453843780434632
1930,0.0
423,0.11778303287860581
3378,-0.06899277624898659
3852,0.0
1110,-0.1823214901273129
1030,0.28768198911847165
1320,0.223143541314208
5454,0.0
137,-0.2231435179808816
960,-0.06899286910600111
3126,-0.28768123912087873
4056,0.6931468472267799
3990,1.0116008321330323
535,0.16705408186596316
1449,0.0
4724,0.0
1747,0.5108255904326597
3851,-0.14310074107664406
4781,0.0
2420,0.4054648303305797
726,0.0
1125,-0.15415065601773748
27,0.0
4068,0.0
1233,0.40546502477484836
1061,0.33647217947836516
4064,0.33647166519362237
4489,-0.18232122346123347
1947,-0.22314350131422067
421,-0.13353138905309336
3966,0.0
2047,-0.33647195090717297
2597,0.3254221867595568
1378,0.40546494144156675
1331,0.0
916,0.0
3750,0.0
1722,-0.40546477477510834
431,0.10536051343560615
1009,0.0
2453,2.2335803168330575
2391,0.22314350131422067
909,0.0
1675,0.24116204707662803
4405,0.0
232,0.0
120,0.0
3783,0.18232122346123347
507,0.0
2891,0.11778275787926162
417,-0.20067068536114263
2589,-0.4054617748026086
591,0.18232155012729123
2196,0.9162877318846547
4638,0.0
1735,0.5108255970993234
1669,-0.223143541314208
1317,0.3483066697584114
5405,-0.405464274776568
2195,-0.18232122346123347
1240,0.22314354631421196
1628,0.3364721223355378
4693,0.0
380,0.09531017525887009
5323,-0.10536049343560805
5400,0.22314338464766692
1730,-0.5108254904326923
4825,-0.13353137476738297
3632,0.0
3643,0.0
1934,-0.13353135691024676
4387,-0.08701122547474327
2967,0.0
3294,-0.51082529043288
3716,-0.33647166519362237
870,-0.1823215545717325
4322,0.0
1256,-0.24116204707662803
2827,0.0
3106,0.7621392901429314
4428,11.225256725762893
3081,0.0
5006,-0.2876804057948359
2494,-0.5108202904895442
1036,-0.22314350131422067
975,0.3364722080497877
4801,0.0
4105,0.6931466805603215
5300,-0.287681794674274
2176,0.40546477477510834
5287,0.0
3059,0.22314305131533452
2848,0.0
3721,0.0
2631,0.0
156,-0.9162901318745753
2474,0.4054634414484415
3417,0.6359882438446238
1015,0.0
413,-0.06899287053457215
5450,0.40546477477510834
3452,-0.22314353464754433
2963,-0.28768123912087873
4930,-0.22314330131449012
3723,-0.28768203078512045
1273,0.0
4506,0.1823214901273129
1111,0.2578290959331184
3289,0.0
4238,0.6931446805693202
2311,-14.731801689838349
3152,-0.18232144568291275
3690,-0.11332864244987739
4229,-0.6931421805974445
5444,0.0
3103,0.0
5290,0.5108254904326923
1523,0.5596156807925858
1006,0.0
5202,-0.10536051010227254
2292,0.0
759,0.22314353464754433
1646,-0.09531017798614272
2085,0.0
3847,-0.33647166519362237
1664,-0.13353138905309336
331,-0.1541506322082249
3396,0.0
2814,-0.356674515367823
579,-0.223143541314208
1689,0.35667490108159505
5093,0.22314330131449012
1077,0.0
2833,0.6931461805614454
3624,-0.10536046010230038
3791,-0.13353137476738297
3074,0.51082529043288
5173,0.0
5286,-0.22314338464766692
804,0.0
997,0.0
4402,-0.22314330131449012
526,0.0
1913,0.15415065601773748
3232,0.0
481,-0.22314350131422067
680,-0.13353138905309336
318,-0.40546494144156675
1524,0.48550771962787387
5090,0.8266753589119542
1572,-0.28768203078512045
620,-0.47000355424574813
5374,0.0
4009,-0.20067059445210056
3437,0.26236380292984585
5345,0.0
1517,-0.09531016162251049
905,-0.5108255793215513
3835,0.0
2638,-0.18232022347040022
709,-0.26236424139057135
4289,-0.26570306428376966
3354,0.40546469144193154
5420,-0.356674515367823
3571,0.6286080760895985
5239,-0.22314305131533452
7,0.0
4784,-0.15415065601773748
5114,-0.22314330131449012
3076,0.0
4404,0.0
595,-0.1278333660553379
3959,0.0
3596,-0.22314330131449012
3982,0.10536051343560615
220,-0.10536046010230038
5204,-0.22314330131449012
3314,-0.1823208901297324
2247,0.0
2635,0.0
4277,0.0
4432,0.0
31,-0.18232154568284287
5436,0.40546477477510834
2136,0.0
1701,0.0
5032,0.28768123912087873
3014,-0.28768123912087873
5200,0.0
112,0.5108255904326597
3403,0.0
5191,0.0
1383,0.0
5438,0.0
1005,-0.40546494144156675
2931,0.0
5265,-0.22314350131422067
3501,-0.33647166519362237
2621,-0.15415020363825604
4859,0.0
4805,0.0
1636,0.0
3762,0.22314330131449012
1494,0.0
3894,-0.18232139012744142
5008,0.0
